[21:10:49] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:49] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:50] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:50] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:50] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:50] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:50] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:51] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:51] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:51] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:51] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:52] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:52] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:52] J9: Balón detectado: dist=9.00 ang=-1.0 → bx=9.00, by=-0.16
[21:10:52] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:52] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:53] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:54] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:54] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:54] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:54] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:54] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:55] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:55] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:55] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:55] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:56] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:56] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:56] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:56] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:57] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:57] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:57] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:57] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:57] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:58] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:58] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:58] J9: Balón detectado: dist=9.00 ang=-2.0 → bx=8.99, by=-0.31
[21:10:58] J9: Balón detectado: dist=8.20 ang=-2.0 → bx=8.20, by=-0.29
[21:10:58] J9: Balón detectado: dist=7.40 ang=-2.0 → bx=7.40, by=-0.26
[21:10:59] J9: Balón detectado: dist=7.40 ang=-2.0 → bx=7.40, by=-0.26
[21:10:59] J9: Balón detectado: dist=6.70 ang=-1.0 → bx=6.70, by=-0.12
[21:10:59] J9: Balón detectado: dist=6.00 ang=-1.0 → bx=6.00, by=-0.10
[21:10:59] J9: Balón detectado: dist=6.00 ang=-1.0 → bx=6.00, by=-0.10
[21:11:00] J9: Balón detectado: dist=5.50 ang=0.0 → bx=5.50, by=0.00
[21:11:00] J9: Balón detectado: dist=5.00 ang=0.0 → bx=5.00, by=0.00
[21:11:00] J9: Balón detectado: dist=5.00 ang=1.0 → bx=5.00, by=0.09
[21:11:00] J9: Balón detectado: dist=4.10 ang=1.0 → bx=4.10, by=0.07
