[21:11:35] J7: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:11:35] J7: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:11:35] J7: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:11:35] J7: Balón detectado: dist=49.40 ang=-3.0 → bx=49.33, by=-2.59
[21:11:36] J7: Balón detectado: dist=30.00 ang=44.0 → bx=21.58, by=20.84
[21:11:36] J7: Balón detectado: dist=30.00 ang=5.0 → bx=29.89, by=2.61
[21:11:36] J7: Balón detectado: dist=30.00 ang=1.0 → bx=30.00, by=0.52
[21:11:36] J7: Balón detectado: dist=30.00 ang=1.0 → bx=30.00, by=0.52
[21:11:36] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:11:37] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:11:37] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:11:37] J7: Balón detectado: dist=27.10 ang=1.0 → bx=27.10, by=0.47
[21:11:37] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:11:37] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:11:38] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:11:38] J7: Balón detectado: dist=24.50 ang=1.0 → bx=24.50, by=0.43
[21:11:38] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:11:38] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:11:38] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:11:39] J7: Balón detectado: dist=22.20 ang=1.0 → bx=22.20, by=0.39
[21:11:39] J7: Balón detectado: dist=20.10 ang=1.0 → bx=20.10, by=0.35
[21:11:39] J7: Balón detectado: dist=20.10 ang=1.0 → bx=20.10, by=0.35
[21:11:39] J7: Balón detectado: dist=18.20 ang=1.0 → bx=18.20, by=0.32
[21:11:40] J7: Balón detectado: dist=18.20 ang=1.0 → bx=18.20, by=0.32
[21:11:40] J7: Balón detectado: dist=16.40 ang=1.0 → bx=16.40, by=0.29
[21:11:40] J7: Balón detectado: dist=16.40 ang=2.0 → bx=16.39, by=0.57
[21:11:40] J7: Balón detectado: dist=14.90 ang=2.0 → bx=14.89, by=0.52
[21:11:40] J7: Balón detectado: dist=14.90 ang=2.0 → bx=14.89, by=0.52
[21:11:41] J7: Balón detectado: dist=13.50 ang=3.0 → bx=13.48, by=0.71
[21:11:41] J7: Balón detectado: dist=13.50 ang=3.0 → bx=13.48, by=0.71
[21:11:41] J7: Balón detectado: dist=12.20 ang=3.0 → bx=12.18, by=0.64
[21:11:41] J7: Balón detectado: dist=11.00 ang=3.0 → bx=10.98, by=0.58
[21:11:42] J7: Balón detectado: dist=11.00 ang=3.0 → bx=10.98, by=0.58
[21:11:42] J7: Balón detectado: dist=10.00 ang=4.0 → bx=9.98, by=0.70
[21:11:42] J7: Balón detectado: dist=10.00 ang=1.0 → bx=10.00, by=0.17
[21:11:42] J7: Balón detectado: dist=10.00 ang=1.0 → bx=10.00, by=0.17
[21:11:42] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:43] J7: Balón detectado: dist=8.20 ang=2.0 → bx=8.20, by=0.29
[21:11:43] J7: Balón detectado: dist=7.40 ang=2.0 → bx=7.40, by=0.26
[21:11:43] J7: Balón detectado: dist=7.40 ang=2.0 → bx=7.40, by=0.26
[21:11:43] J7: Balón detectado: dist=6.00 ang=2.0 → bx=6.00, by=0.21
[21:11:44] J7: Balón detectado: dist=5.50 ang=3.0 → bx=5.49, by=0.29
[21:11:44] J7: Balón detectado: dist=5.00 ang=3.0 → bx=4.99, by=0.26
[21:11:44] J7: Balón detectado: dist=4.10 ang=3.0 → bx=4.09, by=0.21
[21:11:44] J7: Balón detectado: dist=4.10 ang=3.0 → bx=4.09, by=0.21
[21:11:44] J7: Balón detectado: dist=3.30 ang=3.0 → bx=3.30, by=0.17
[21:11:45] J7: Balón detectado: dist=3.00 ang=3.0 → bx=3.00, by=0.16
[21:11:45] J7: Balón detectado: dist=2.50 ang=0.0 → bx=2.50, by=0.00
[21:11:45] J7: Balón detectado: dist=2.00 ang=-1.0 → bx=2.00, by=-0.03
[21:11:45] J7: Balón detectado: dist=1.50 ang=-1.0 → bx=1.50, by=-0.03
[21:11:46] J7: Balón detectado: dist=1.10 ang=2.0 → bx=1.10, by=0.04
[21:11:46] J7: Balón detectado: dist=1.00 ang=4.0 → bx=1.00, by=0.07
[21:11:46] J7: Se pasa a J10 (estim pos 35.0,0.0) ang_pass=-0.1°
[21:11:46] J7: ⚽ Pase realizado a J10
[21:11:46] J7: Balón detectado: dist=0.80 ang=5.0 → bx=0.80, by=0.07
[21:11:46] J7: Se pasa a J10 (estim pos 35.0,0.0) ang_pass=-0.1°
[21:11:46] J7: ⚽ Pase realizado a J10
[21:11:46] J7: Balón detectado: dist=2.20 ang=-2.0 → bx=2.20, by=-0.08
[21:11:46] J7: Balón detectado: dist=4.50 ang=-3.0 → bx=4.49, by=-0.24
[21:11:47] J7: Balón detectado: dist=6.00 ang=-3.0 → bx=5.99, by=-0.31
[21:11:47] J7: Balón detectado: dist=9.00 ang=-4.0 → bx=8.98, by=-0.63
[21:11:47] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:47] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:48] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:48] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:48] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:48] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:48] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:49] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:49] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:49] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:49] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:49] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:50] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:50] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:50] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:50] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:51] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:51] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:51] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:51] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:51] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:52] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:52] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:52] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:52] J7: Balón detectado: dist=9.00 ang=-52.0 → bx=5.54, by=-7.09
[21:11:53] J7: Balón detectado: dist=9.00 ang=-51.0 → bx=5.66, by=-6.99
[21:11:53] J7: Balón detectado: dist=9.00 ang=-5.0 → bx=8.97, by=-0.78
[21:11:53] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:53] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:53] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:54] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:54] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:54] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:54] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:54] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:55] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:55] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:55] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:55] J7: Balón detectado: dist=9.00 ang=2.0 → bx=8.99, by=0.31
[21:11:56] J7: Balón detectado: dist=9.00 ang=3.0 → bx=8.99, by=0.47
[21:11:56] J7: Balón detectado: dist=9.00 ang=3.0 → bx=8.99, by=0.47
[21:11:56] J7: Balón detectado: dist=9.00 ang=3.0 → bx=8.99, by=0.47
[21:11:56] J7: Balón detectado: dist=9.00 ang=4.0 → bx=8.98, by=0.63
[21:11:56] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
